TS0012,425.9147,512.9075,103.3155,10/07/2020,18:53:02.68,16934825
TS0012,425.9150,512.9076,103.3154,10/07/2020,18:53:02.92,16935064
TS0012,425.9146,512.9076,103.3156,10/07/2020,18:53:03.16,16935304
TS0012,425.9149,512.9078,103.3154,10/07/2020,18:53:03.36,16935503
TS0012,425.9147,512.9076,103.3154,10/07/2020,18:53:03.60,16935743
TS0012,425.9146,512.9076,103.3155,10/07/2020,18:53:03.84,16935981
TS0012,425.9149,512.9078,103.3155,10/07/2020,18:53:04.04,16936180
TS0012,425.9150,512.9077,103.3158,10/07/2020,18:53:04.27,16936416
TS0012,425.9149,512.9077,103.3155,10/07/2020,18:53:04.51,16936653
TS0012,425.9143,512.9075,103.3156,10/07/2020,18:53:04.71,16936849
TS0012,425.9149,512.9078,103.3155,10/07/2020,18:53:04.95,16937090
TS0012,425.9149,512.9078,103.3155,10/07/2020,18:53:05.18,16937328
TS0012,425.9155,512.9081,103.3156,10/07/2020,18:53:05.42,16937565
TS0012,425.9146,512.9077,103.3156,10/07/2020,18:53:05.62,16937766
TS0012,425.9144,512.9074,103.3156,10/07/2020,18:53:05.86,16938004
TS0012,425.9147,512.9075,103.3158,10/07/2020,18:53:06.06,16938204
TS0012,425.9150,512.9077,103.3157,10/07/2020,18:53:06.30,16938444
TS0012,425.9144,512.9074,103.3157,10/07/2020,18:53:06.54,16938683
TS0012,425.9147,512.9075,103.3157,10/07/2020,18:53:06.74,16938883
TS0012,425.9150,512.9076,103.3158,10/07/2020,18:53:06.98,16939122
TS0012,425.9150,512.9077,103.3157,10/07/2020,18:53:07.22,16939360
TS0012,425.9147,512.9075,103.3155,10/07/2020,18:53:07.42,16939559
TS0012,425.9150,512.9076,103.3156,10/07/2020,18:53:07.65,16939792
TS0012,425.9147,512.9075,103.3155,10/07/2020,18:53:07.89,16940029
TS0012,425.9147,512.9075,103.3155,10/07/2020,18:53:08.09,16940230
TS0012,425.9153,512.9078,103.3155,10/07/2020,18:53:08.32,16940465
TS0012,425.9144,512.9074,103.3156,10/07/2020,18:53:08.56,16940704
TS0012,425.9147,512.9075,103.3156,10/07/2020,18:53:08.76,16940904
TS0012,425.9150,512.9077,103.3155,10/07/2020,18:53:09.00,16941144
TS0012,425.9150,512.9077,103.3156,10/07/2020,18:53:09.24,16941383
